azimuth, elevation, dBi
85, 50, -6.779552938154779
90, 50, -7.041012590548732
95, 50, -7.439347341433933
100, 50, -7.989462918398912
105, 50, -8.718522331237228
110, 50, -9.675527849225833
114.99999999999999, 50, -10.955252410816996
119.99999999999999, 50, -12.771425797840122
125.00000000000001, 50, -15.788750911218294
130, 50, -27.86465862437273
135, 50, -16.817833249535713
140, 50, -13.917871606799268
145.00000000000003, 50, -12.406733879005207
150.00000000000003, 50, -11.461256076050086
155, 50, -10.830005695330055
160, 50, -10.4004277145776
164.99999999999997, 50, -10.11155926883244
170, 50, -9.926929979843678
175.00000000000003, 50, -9.824289970736274
180, 50, -9.791388359437617
185, 50, -9.824289970736274
190, 50, -9.926929979843678
195.00000000000003, 50, -10.11155926883244
200, 50, -10.4004277145776
205, 50, -10.830005695330055
210, 50, -11.461256076050086
215, 50, -12.406733879005207
220, 50, -13.917871606799242
225, 50, -16.817833249535713
229.99999999999997, 50, -27.864658624373103
235, 50, -15.788750911218294
239.99999999999997, 50, -12.771425797840132
245.00000000000003, 50, -10.955252410816996
250.00000000000003, 50, -9.67552784922583
255, 50, -8.718522331237228
260, 50, -7.989462918398916
265, 50, -7.439347341433933
270, 50, -7.041012590548733
275, 50, -6.77955293815478
280, 50, -6.6481109363257005
285, 50, -6.646153662533873
290.00000000000006, 50, -6.7792608995741865
295, 50, -7.060301831966815
300.00000000000006, 50, -7.512605842331745
305, 50, -8.177078709335262
310, 50, -9.12905778017055
315, 50, -10.52526848009167
320, 50, -12.781050598924686
325, 50, -17.95814333427466
329.99999999999994, 50, -16.999628700724823
335.00000000000006, 50, -12.708204604542335
340, 50, -10.785182706189953
345, 50, -9.657594817612773
350.00000000000006, 50, -8.97152926951035
355, 50, -8.595633197635399
360, 50, -8.475439913094885
0, 55, -13.805800788826794
5, 55, -14.114912515993385
10, 55, -15.182446817083283
14.999999999999998, 55, -17.78065381489005
20, 55, -28.06430449079089
25, 55, -16.281008741091664
29.999999999999996, 55, -13.161549753881914
35, 55, -11.267613173882317
40, 55, -9.9323714591422
45, 55, -8.93581449031565
50, 55, -8.177078709335266
55, 55, -7.6014944417988195
59.99999999999999, 55, -7.176399159125197
65, 55, -6.881178621154639
70, 55, -6.702573935884577
75.00000000000001, 55, -6.632285543558034
80, 55, -6.665726287662293
85, 55, -6.801442310430858
90, 55, -7.041012590548732
95, 55, -7.389407000657268
100, 55, -7.855941125775364
105, 55, -8.456215349277237
110, 55, -9.215967566857962
